date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:39	19638/19638	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:37%20GMT	http://wbpreview.com/previews/WB0DP4521/single-project.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/single-project.html	(from )
10:03:39	26080/26080	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:34%20GMT	http://wbpreview.com/previews/WB0DP4521/blog.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/blog.html	(from )
10:03:39	27076/27076	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:33%20GMT	http://wbpreview.com/previews/WB0DP4521/floated-blog.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/floated-blog.html	(from )
10:03:40	25582/25582	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:33%20GMT	http://wbpreview.com/previews/WB0DP4521/blog-filter.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/blog-filter.html	(from )
10:03:40	27452/27452	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:33%20GMT	http://wbpreview.com/previews/WB0DP4521/blog-post.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/blog-post.html	(from )
10:03:40	28766/28766	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:34%20GMT	http://wbpreview.com/previews/WB0DP4521/gallery.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/gallery.html	(from )
10:03:41	22127/22127	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:33%20GMT	http://wbpreview.com/previews/WB0DP4521/floated-gallery.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/floated-gallery.html	(from )
10:03:41	18157/18157	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:33%20GMT	http://wbpreview.com/previews/WB0DP4521/contact.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/contact.html	(from )
10:03:41	1158/1158	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Feb%202013%2019:52:50%20GMT	http://wbpreview.com/previews/WB0DP4521/images/arrow-left.png	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/arrow-left.png	(from )
10:03:42	1181/1181	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Feb%202013%2019:52:51%20GMT	http://wbpreview.com/previews/WB0DP4521/images/arrow-right.png	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/arrow-right.png	(from )
